user_id,gender,age,stream,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6
87,Female,20,Chemical Engineering,Unknown,"Basics of Electrical and Electronics Engineering, Basics of Electrical and Electronics Engineering","Chemical Process Simulation Using Aspen Plus, Process Engineering Fundamentals","Chemical Process Simulation Using Aspen Plus, Process Engineering Fundamentals","Biochemical Engineering, Environmental Impact of Chemical Processes","Biochemical Engineering, Environmental Impact of Chemical Processes"
88,Female,25,Aerospace Engineering,"Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)",Unknown,"Flight Mechanics, Satellite Communication Systems","Flight Mechanics, Satellite Communication Systems","Spacecraft Dynamics and Control, Satellite System Engineering","Spacecraft Dynamics and Control, Satellite System Engineering"
89,Male,21,Unknown,"Introduction to Python Programming, Environmental Science and Sustainability","Introduction to Python Programming, Environmental Science and Sustainability","Construction Planning and Management, Water Resource Management","Construction Planning and Management, Water Resource Management","Smart Transportation Systems, Sustainable Construction","Smart Transportation Systems, Sustainable Construction"
90,Female,25,Chemical Engineering,Unknown,"Engineering Mechanics, Environmental Science and Sustainability","Chemical Process Simulation Using Aspen Plus, Energy Management in Process Industries","Chemical Process Simulation Using Aspen Plus, Energy Management in Process Industries","Petrochemical Process Engineering, Catalysis in Chemical Engineering","Petrochemical Process Engineering, Catalysis in Chemical Engineering"
91,Male,21,Unknown,"Environmental Science and Sustainability, Engineering Mechanics","Environmental Science and Sustainability, Engineering Mechanics","Web Development with HTML, CSS, and JavaScript, Web Development with HTML, CSS, and JavaScript","Web Development with HTML, CSS, and JavaScript, Web Development with HTML, CSS, and JavaScript","DevOps Practices, Deep Learning with TensorFlow","DevOps Practices, Deep Learning with TensorFlow"
92,Male,22,Chemical Engineering,Unknown,"Environmental Science and Sustainability, Basics of Electrical and Electronics Engineering","Mass Transfer Basics, Mass Transfer Basics","Mass Transfer Basics, Mass Transfer Basics","Chemical Plant Safety Management, Biochemical Engineering","Chemical Plant Safety Management, Biochemical Engineering"
93,Female,23,Aerospace Engineering,"Introduction to Python Programming, Engineering Mechanics","Introduction to Python Programming, Engineering Mechanics","Basics of Computational Fluid Dynamics (CFD), Introduction to Avionics","Basics of Computational Fluid Dynamics (CFD), Introduction to Avionics","Satellite System Engineering, UAV Technology","Satellite System Engineering, UAV Technology"
94,Male,20,Civil Engineering,"Introduction to Python Programming, Engineering Mechanics","Introduction to Python Programming, Engineering Mechanics","Basics of Structural Analysis, Introduction to BIM (Building Information Modeling)","Basics of Structural Analysis, Introduction to BIM (Building Information Modeling)","Advanced Structural Engineering, Sustainable Construction","Advanced Structural Engineering, Sustainable Construction"
95,Female,23,Computer Science and Engineering (CSE),"Engineering Mathematics, Basics of Electrical and Electronics Engineering","Engineering Mathematics, Basics of Electrical and Electronics Engineering","Foundations of Cybersecurity, Web Development with HTML, CSS, and JavaScript","Foundations of Cybersecurity, Web Development with HTML, CSS, and JavaScript","Data Science and Big Data Analytics, DevOps Practices","Data Science and Big Data Analytics, DevOps Practices"
96,Male,24,Unknown,"Engineering Mechanics, Engineering Mathematics","Engineering Mechanics, Engineering Mathematics","Control Systems Fundamentals, Electromagnetic Fields and Waves","Control Systems Fundamentals, Electromagnetic Fields and Waves","High Voltage Engineering, Advanced Power Systems","High Voltage Engineering, Advanced Power Systems"
97,Female,22,Aerospace Engineering,"Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Introduction to Avionics, Flight Mechanics","Introduction to Avionics, Flight Mechanics","Spacecraft Avionics, Aircraft Structures Design","Spacecraft Avionics, Aircraft Structures Design"
98,Female,25,Unknown,Unknown,"Engineering Mechanics, Basics of Electrical and Electronics Engineering","Medical Imaging and Applications, Introduction to Tissue Engineering","Medical Imaging and Applications, Introduction to Tissue Engineering","Advanced Tissue Engineering, Advanced Tissue Engineering","Advanced Tissue Engineering, Advanced Tissue Engineering"
99,Male,21,Electrical Engineering,"Engineering Mathematics, Engineering Mathematics","Engineering Mathematics, Engineering Mathematics","Circuit Theory Basics, Electrical Machines and Drives","Circuit Theory Basics, Electrical Machines and Drives","Renewable Energy Integration, Smart Grid Technology","Renewable Energy Integration, Smart Grid Technology"
100,Unknown,19,Computer Science and Engineering (CSE),"Engineering Mathematics, Engineering Mathematics","Engineering Mathematics, Engineering Mathematics","Data Structures and Algorithms, Database Management Systems","Data Structures and Algorithms, Database Management Systems","Deep Learning with TensorFlow, Mobile App Development with Flutter","Deep Learning with TensorFlow, Mobile App Development with Flutter"
101,Female,22,Mechanical Engineering,"Environmental Science and Sustainability, Engineering Mechanics","Environmental Science and Sustainability, Engineering Mechanics","Strength of Materials, Strength of Materials","Strength of Materials, Strength of Materials","Wind and Solar Energy Engineering, Energy Systems Engineering","Wind and Solar Energy Engineering, Energy Systems Engineering"
102,Male,23,Electronics and Communication Engineering (ECE),"Environmental Science and Sustainability, Environmental Science and Sustainability","Environmental Science and Sustainability, Environmental Science and Sustainability","Introduction to IoT, Digital Circuits and Systems","Introduction to IoT, Digital Circuits and Systems","Network-on-Chip Architecture, Radar Systems and Applications","Network-on-Chip Architecture, Radar Systems and Applications"
103,Female,23,Computer Science and Engineering (CSE),"Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Database Management Systems, Database Management Systems","Database Management Systems, Database Management Systems","DevOps Practices, Blockchain Basics","DevOps Practices, Blockchain Basics"
104,Male,24,Mechanical Engineering,Unknown,"Introduction to Computer-Aided Design (CAD), Engineering Mechanics","Strength of Materials, Strength of Materials","Strength of Materials, Strength of Materials","Robotics and Automation Engineering, Energy Systems Engineering","Robotics and Automation Engineering, Energy Systems Engineering"
105,Female,21,Electrical Engineering,"Engineering Mechanics, Introduction to Computer-Aided Design (CAD)","Engineering Mechanics, Introduction to Computer-Aided Design (CAD)","Circuit Theory Basics, Introduction to Renewable Energy Systems","Circuit Theory Basics, Introduction to Renewable Energy Systems","Renewable Energy Integration, Advanced Power Systems","Renewable Energy Integration, Advanced Power Systems"
106,Female,21,Biotechnology/Biomedical Engineering,"Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Healthcare Data Analytics, Introduction to Tissue Engineering","Healthcare Data Analytics, Introduction to Tissue Engineering","Advanced Tissue Engineering, Gene Editing with CRISPR","Advanced Tissue Engineering, Gene Editing with CRISPR"
107,Male,21,Mechanical Engineering,"Basics of Electrical and Electronics Engineering, Introduction to Python Programming","Basics of Electrical and Electronics Engineering, Introduction to Python Programming","Introduction to Additive Manufacturing (3D Printing), Basics of Robotics","Introduction to Additive Manufacturing (3D Printing), Basics of Robotics","Introduction to Mechatronics, HVAC Systems Design","Introduction to Mechatronics, HVAC Systems Design"
108,Female,24,Civil Engineering,"Engineering Mechanics, Environmental Science and Sustainability","Engineering Mechanics, Environmental Science and Sustainability","Introduction to BIM (Building Information Modeling), GIS and Remote Sensing","Introduction to BIM (Building Information Modeling), GIS and Remote Sensing","Hydrology and Water Resource Engineering, Hydrology and Water Resource Engineering","Hydrology and Water Resource Engineering, Hydrology and Water Resource Engineering"
109,Female,23,Mechanical Engineering,"Engineering Mechanics, Introduction to Computer-Aided Design (CAD)",Unknown,"Introduction to Additive Manufacturing (3D Printing), Introduction to Additive Manufacturing (3D Printing)","Introduction to Additive Manufacturing (3D Printing), Introduction to Additive Manufacturing (3D Printing)","Optimization in Mechanical Design, Robotics and Automation Engineering","Optimization in Mechanical Design, Robotics and Automation Engineering"
110,Male,24,Electrical Engineering,"Engineering Mechanics, Basics of Electrical and Electronics Engineering","Engineering Mechanics, Basics of Electrical and Electronics Engineering","Control Systems Fundamentals, Electrical Machines and Drives","Control Systems Fundamentals, Electrical Machines and Drives","Smart Grid Technology, Electric Vehicle Systems","Smart Grid Technology, Electric Vehicle Systems"
111,Unknown,25,Biotechnology/Biomedical Engineering,"Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Biomedical Instrumentation, Introduction to Tissue Engineering","Biomedical Instrumentation, Introduction to Tissue Engineering","Gene Editing with CRISPR, Biomedical Signal Processing","Gene Editing with CRISPR, Biomedical Signal Processing"
112,Female,23,Mechanical Engineering,"Engineering Mathematics, Environmental Science and Sustainability","Engineering Mathematics, Environmental Science and Sustainability","Strength of Materials, 3D Modeling with SolidWorks","Strength of Materials, 3D Modeling with SolidWorks","Introduction to Mechatronics, HVAC Systems Design","Introduction to Mechatronics, HVAC Systems Design"
